entity,n-authors,n-revs
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/Ecommerce/OrderAddressViewModel.cs,3,3
Code/CMS/CMS/app_build/app/order-history.js,3,3
Code/CMS/CMS/Views/Content/ContactUs.cshtml,3,3
Code/Admin/Admin/app_build/ViewModels/Variants/Variant.js,3,3
Code/Core/WebPOS.Core.ModelLayer/OrderManagement/Order.cs,3,3
Code/Integration/WebPOS.Integration/WebPOS.Integration.csproj,2,19
Code/Integration/WebPOS.Integration.Conversion/WebPOS.Integration.Conversion.csproj,2,19
Code/Integration/WebPOS.Integration/IntegrationModule.cs,2,19
Code/CMS/CMS/Assets/sass/modules/_left-navigation.scss,2,13
Code/Integration/WebPOS.Integration.Conversion/Products/VariantConverter.cs,2,11
Code/Integration/WebPOS.Integration/Persisters/Implementation/ProductListPersister.cs,2,9
Code/ProjectLibraries/WebPOS.Project.CMS.ViewModelLayer/PageModels/Ecommerce/ProductPageModel.cs,2,8
Code/Integration/WebPOS.Integration.Conversion/Pricing/PricingListConverter.cs,2,7
Code/Core/WebPOS.Core.ServiceLayer/Users/Implementation/UserManager.cs,2,6
Code/CMS/CMS/Views/Ecommerce/ProductFilterProperties.cshtml,2,6
Code/Admin/Admin/app_build/ViewModels/Products/Product.js,2,6
Code/Integration/WebPOS.Integration/Persisters/Implementation/VariantPriceRuleListPersister.cs,2,6
Code/ProjectLibraries/WebPOS.Project.Jobs/JobTypes/PricesImportJob.cs,2,6
Code/CMS/CMS/Assets/sass/themes/_form-sts.scss,2,6
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/MyAccount/ProfilePageModelInitialiser.cs,2,6
Code/CMS/CMS/Views/Auth/Register.cshtml,2,6
Code/Integration/WebPOS.Integration.Conversion/Pricing/PriceRuleItemToVariantPriceRuleConverter.cs,2,6
Code/Integration/WebPOS.Integration.Conversion/Prima/StockConverter.cs,2,6
Code/CMS/CMS/Assets/sass/layout/_checkout-delivery-address-page.scss,2,6
Code/ProjectLibraries/WebPOS.Project.CMS.ApplicationLayer/Initialisers/Pages/Checkout/CheckoutDeliveryOptionsPageModelInitialiser.cs,2,5
Code/CMS/CMS/Assets/sass/themes/_dropdown-menus.scss,2,5
Code/CMS/CMS/Assets/sass/themes/_breadcrumbs-sts.scss,2,5
Code/ProjectLibraries/WebPOS.Project.Jobs/JobTypes/StockRefreshJob.cs,2,5
Code/CMS/CMS/Assets/sass/modules/content-blocks/_tabbed-product-scroller.scss,2,5
Code/CMS/CMS/Assets/sass/base/_form-controls.scss,2,5
Code/CMS/CMS/Views/Ecommerce/ProductFilter.cshtml,2,5
Code/Core/WebPOS.Core.ServiceLayer/AutoMapperProfiles/StockMapperProfile.cs,2,5
Code/CMS/CMS/package.json,2,5
Database/CMS_Database/Scripts/Post-Deployment/Ref/MasterConfigurations.sql.template,2,5
